donor_id,name,gender,dob,age,blood_group,phone,neighbourhood,lat,lng,last_donation_date,days_since_last_donation,total_donations,times_contacted_last_30d,response_rate
D0020,Asad Ahmed,Male,1981-01-17,45,O-,+923158884978,Bahadurabad,24.88548,67.07457,2026-02-01,125,4,0,0.97
D0021,Amna Malik,Female,1996-07-22,30,O-,+923410054484,Clifton,24.81657,67.02522,2025-10-13,236,3,2,0.53
D0022,Aiman Qureshi,Female,1966-02-10,60,O+,+923151663795,Liaquatabad,24.89724,67.05285,2026-05-09,28,2,1,0.42
D0023,Shahzaib Farooqi,Male,1977-07-08,49,B+,+923067062156,Gulshan-e-Iqbal,24.93092,67.10015,2025-12-08,180,3,5,0.44
D0024,Kashif Khokhar,Male,1980-10-27,46,A+,+923331361812,Gulberg,24.92824,67.05976,2024-09-13,631,6,0,0.93
D0025,Areeba Abbasi,Female,1987-06-18,39,B+,+923118620650,F.B. Area,24.93655,67.06865,2025-08-12,298,2,0,0.67
D0026,Kiran Nawaz,Female,1984-08-01,42,O-,+923382238741,Saddar,24.86608,67.03048,2026-03-29,69,3,0,0.8
D0027,Faizan Jamali,Male,1974-01-13,52,O+,+923334391257,Gulshan-e-Iqbal,24.91151,67.08979,2025-10-26,223,3,0,0.96
D0028,Bushra Khan,Female,1974-01-12,52,B+,+923043189803,North Nazimabad,24.94875,67.04164,2026-05-12,25,3,0,0.98
D0029,Noman Mughal,Male,2001-03-10,25,B+,+923363238057,Gulshan-e-Iqbal,24.93179,67.09332,2026-05-12,25,5,3,0.44
D0030,Danish Bhatti,Male,1985-02-17,41,A+,+923068186525,Gulshan-e-Iqbal,24.92989,67.09924,2025-07-16,325,5,5,0.64
D0031,Noman Nawaz,Male,1991-06-28,35,B+,+923386483924,North Nazimabad,24.93669,67.03682,2026-03-20,78,6,0,0.14
D0032,Mahnoor Shah,Female,2008-09-07,18,B+,+923396691619,Shah Faisal Colony,24.87873,67.1662,2026-04-05,62,1,2,0.57
D0033,Noman Shah,Male,1987-06-23,39,O+,+923152352128,Saddar,24.85403,67.0129,2026-05-22,15,5,0,0.24
D0034,Rabia Raza,Female,1985-03-10,41,B+,+923084270583,Bahadurabad,24.87204,67.05309,2026-04-30,37,0,0,0.84
D0035,Sana Siddiqui,Female,1983-08-03,43,O+,+923221432787,Gulistan-e-Johar,24.90964,67.13747,2026-01-07,150,5,0,0.18
D0036,Rabia Nawaz,Female,1969-01-20,57,B-,+923145520201,Nazimabad,24.92274,67.02299,2026-03-14,84,3,0,0.82
D0037,Rehan Mughal,Male,1979-02-22,47,B+,+923167061186,Malir,24.89991,67.208,2025-01-04,518,5,0,0.49
D0038,Hamza Chaudhry,Male,1989-12-13,37,O-,+923415350023,Gulberg,24.93096,67.04851,2026-04-12,55,1,2,0.58
D0039,Saba Ahmed,Female,1997-08-17,29,A+,+923322246348,Malir,24.88536,67.20705,2025-09-11,268,4,3,0.12
D0040,Amna Ahmed,Female,1979-02-11,47,B+,+923410154493,Nazimabad,24.92328,67.0277,2026-03-14,84,3,1,0.85
D0041,Rehan Chaudhry,Male,1977-02-01,49,B-,+923084121929,Korangi,24.84803,67.12946,2024-10-18,596,8,1,0.65
D0042,Asad Rizvi,Male,1978-08-08,48,O+,+923428321839,F.B. Area,24.94021,67.07412,2025-10-18,231,5,0,0.62
D0043,Haris Malik,Male,1980-09-16,46,O+,+923235320492,Bahadurabad,24.88731,67.06105,2026-03-09,89,5,0,0.92
D0044,Taimoor Soomro,Male,1999-08-02,27,B+,+923323383077,Liaquatabad,24.91587,67.05098,2025-07-18,323,2,2,0.75
D0045,Eman Siddiqui,Female,1987-11-28,39,O+,+923382613940,Liaquatabad,24.91004,67.0513,2026-02-01,125,8,8,0.53
D0046,Mehwish Qureshi,Female,1989-01-02,37,B+,+923142775624,Gulistan-e-Johar,24.91304,67.127,2026-03-31,67,0,3,0.89
D0047,Asad Chaudhry,Male,1992-11-01,34,AB+,+923119913576,Landhi,24.85963,67.19426,2025-09-13,266,2,0,0.46
D0048,Waqas Ansari,Male,1972-05-23,54,B+,+923091390501,PECHS,24.86659,67.06558,2025-10-13,236,2,1,0.6
D0049,Eman Sheikh,Female,1968-11-02,58,B+,+923122097496,Landhi,24.8388,67.18676,2026-04-30,37,1,1,0.37
D0050,Taimoor Butt,Male,1990-12-28,36,B+,+923163339667,Nazimabad,24.91124,67.01981,2025-03-05,458,0,1,0.6
D0051,Iqra Sheikh,Female,1994-08-01,32,O+,+923095282470,Bahadurabad,24.87687,67.06664,2026-04-08,59,0,0,0.43
D0052,Owais Bhatti,Male,1974-07-19,52,A+,+923392631441,F.B. Area,24.95225,67.06772,2025-10-16,233,1,1,0.77
D0053,Eman Ansari,Female,2005-07-09,21,B+,+923098955314,Nazimabad,24.92278,67.03778,2025-04-15,417,2,0,0.87
D0054,Haris Raza,Male,1987-03-26,39,AB+,+923182506491,Gulshan-e-Iqbal,24.91615,67.10312,2025-12-09,179,0,0,0.94
D0055,Noman Rizvi,Male,1975-02-24,51,B+,+923070667140,Landhi,24.85667,67.19032,2025-11-15,203,8,2,0.01
D0056,Anum Bhatti,Female,2002-08-23,24,AB+,+923118815720,North Nazimabad,24.95158,67.03373,2025-10-19,230,3,0,0.85
D0057,Faraz Khokhar,Male,1973-12-28,53,B+,+923363516659,Landhi,24.85931,67.18793,2026-01-19,138,4,0,0.03
D0058,Hamza Lodhi,Male,1985-03-18,41,B+,+923357459130,Bahadurabad,24.88248,67.06808,2025-04-14,418,3,0,0.87
D0059,Haris Shah,Male,1985-02-25,41,B+,+923492352411,Korangi,24.85037,67.14228,2026-03-12,86,2,2,0.98
D0060,Usman Malik,Male,1968-01-03,58,A+,+923159667685,DHA,24.79703,67.04889,2025-03-11,452,1,2,0.71
D0061,Danish Abbasi,Male,1995-09-04,31,O+,+923380723898,Nazimabad,24.9068,67.03428,2026-03-13,85,15,0,0.68
D0062,Hamza Khan,Male,1977-12-14,49,B+,+923499663907,PECHS,24.87278,67.05752,2024-04-25,772,0,0,0.66
D0063,Anum Memon,Female,2001-07-01,25,B-,+923221828592,Clifton,24.82103,67.03284,2026-01-13,144,2,0,0.62
D0064,Ali Sheikh,Male,1975-09-07,51,AB+,+923141711468,Lyari,24.87343,67.003,2026-05-24,13,3,2,0.45
D0065,Kiran Nawaz,Female,1980-11-19,46,A+,+923169023966,Liaquatabad,24.91574,67.04505,2025-07-11,330,5,1,0.81
D0066,Rehan Siddiqui,Male,1967-02-20,59,O+,+923070362235,PECHS,24.87111,67.0653,2025-12-02,186,3,5,0.33
D0067,Ali Qureshi,Male,2006-04-23,20,O+,+923260043345,Landhi,24.85058,67.19264,2024-04-13,784,4,0,0.5
D0068,Asad Lodhi,Male,1966-10-28,60,B+,+923251638598,North Nazimabad,24.94399,67.02939,2025-08-20,290,8,0,0.64
D0069,Aiman Bhatti,Female,1975-02-21,51,A+,+923138748452,Gulberg,24.92668,67.0467,2026-04-24,43,1,0,0.31
D0070,Fatima Bhatti,Female,1987-10-05,39,O+,+923432218290,F.B. Area,24.93489,67.07195,2026-02-14,112,4,5,0.88
D0071,Arsalan Butt,Male,1996-06-22,30,O-,+923377498993,Landhi,24.84908,67.18476,2024-12-22,531,5,0,0.59
D0072,Haris Awan,Male,2001-05-03,25,A+,+923322309586,Malir,24.89178,67.20532,2024-06-13,723,2,0,0.81
D0073,Hamza Mughal,Male,1967-06-26,59,B+,+923172962895,Gulistan-e-Johar,24.91289,67.13791,2026-04-10,57,1,0,0.58
D0074,Hamza Ahmed,Male,1993-07-21,33,A+,+923390092958,Landhi,24.83951,67.19808,2026-02-28,98,4,0,0.7
D0075,Junaid Ansari,Male,2004-09-18,22,O+,+923315843091,Gulberg,24.9313,67.04737,2026-03-17,81,0,2,0.62
D0076,Komal Malik,Female,2006-06-18,20,B+,+923394790150,Clifton,24.82173,67.03443,2025-12-29,159,8,0,0.76
D0077,Talha Shah,Male,1978-05-02,48,A+,+923098010774,DHA,24.79487,67.05869,2025-01-29,493,3,1,0.83
D0078,Iqra Awan,Female,1991-02-24,35,O+,+923449428661,Shah Faisal Colony,24.88146,67.16774,2026-01-15,142,2,1,0.92
D0079,Iqra Jamali,Female,1981-05-21,45,A-,+923278865239,Gulistan-e-Johar,24.9078,67.1333,2026-03-12,86,3,2,0.71
D0080,Waqas Ahmed,Male,1970-03-22,56,O+,+923428481124,Lyari,24.87393,66.99831,2025-09-02,277,2,5,0.21
D0081,Yasir Abbasi,Male,1980-04-20,46,B+,+923070672142,Orangi Town,24.9468,66.97926,2025-03-08,455,10,8,0.9
D0082,Saad Mughal,Male,1968-03-26,58,O+,+923141774192,Korangi,24.83391,67.12682,2026-02-23,103,2,3,0.87
D0083,Aiman Butt,Female,1975-07-25,51,O+,+923070394554,North Nazimabad,24.93301,67.03361,2026-04-08,59,5,1,0.63
D0084,Sana Awan,Female,1999-05-06,27,B+,+923220584397,Korangi,24.8393,67.14458,2026-05-05,32,2,1,0.85
D0085,Noman Jamali,Male,1987-10-02,39,A+,+923445521514,Gulshan-e-Iqbal,24.91145,67.10227,2025-11-21,197,0,3,0.86
D0086,Sadia Memon,Female,1979-02-23,47,B+,+923291424562,Landhi,24.84797,67.18915,2025-09-29,250,6,8,0.74
D0087,Asad Chaudhry,Male,1993-03-04,33,B+,+923153947691,PECHS,24.88074,67.06204,2024-11-23,560,3,1,0.01
D0088,Imran Hussain,Male,1971-06-02,55,B+,+923348352498,Orangi Town,24.95634,66.99623,2026-03-04,94,6,2,0.51
D0089,Salman Memon,Male,2004-07-17,22,O+,+923425946545,Bahadurabad,24.87571,67.07574,2026-01-18,139,15,1,0.81
D0090,Bilal Malik,Male,1987-08-17,39,O+,+923231810655,Gulberg,24.92135,67.06035,2025-10-06,243,3,1,0.87
D0091,Danish Nawaz,Male,1989-12-28,37,A+,+923487528776,Gulshan-e-Iqbal,24.92383,67.08587,2026-05-08,29,4,1,0.95
D0092,Sana Hussain,Female,2007-08-11,19,O+,+923473297813,Shah Faisal Colony,24.88357,67.15785,2026-05-30,7,2,2,0.07
D0093,Owais Bhatti,Male,1967-12-09,59,O+,+923240181142,DHA,24.81098,67.0447,2025-10-12,237,3,1,0.87
D0094,Salman Farooqi,Male,1983-06-25,43,A+,+923056488123,Saddar,24.84901,67.03293,2026-04-11,56,5,0,0.48
D0095,Bilal Bhatti,Male,1975-04-21,51,B+,+923028450513,Nazimabad,24.90992,67.03522,2025-12-18,170,6,1,0.9
D0096,Yasir Siddiqui,Male,1967-10-08,59,O+,+923114877451,Gulistan-e-Johar,24.92792,67.1222,2024-11-27,556,10,5,0.96
D0097,Rabia Chaudhry,Female,1967-09-17,59,O+,+923125119192,F.B. Area,24.95143,67.06323,2025-12-15,173,4,0,0.8
D0098,Ali Farooqi,Male,1981-09-11,45,B+,+923243292316,Nazimabad,24.90443,67.02137,2026-06-06,0,5,5,0.62
D0099,Fatima Bhatti,Female,2001-08-10,25,B+,+923225759274,Gulberg,24.94015,67.05931,2025-10-08,241,1,0,0.75
D0100,Fahad Khokhar,Male,1974-11-27,52,B+,+923080532309,Korangi,24.84733,67.1363,2026-04-10,57,3,0,0.86
D0101,Junaid Chaudhry,Male,2001-11-07,25,A+,+923070858653,Orangi Town,24.94418,66.98825,2025-06-19,352,0,1,0.16
D0102,Saba Siddiqui,Female,2006-07-12,20,A+,+923073360324,Bahadurabad,24.89286,67.07443,2026-06-02,4,1,1,0.15
D0103,Bilawal Farooqi,Male,1984-02-22,42,B-,+923033954324,Bahadurabad,24.87219,67.07265,2025-08-19,291,1,0,0.49
D0104,Taimoor Raza,Male,1993-08-12,33,B+,+923014324134,DHA,24.8105,67.0554,2026-03-14,84,0,1,0.83
D0105,Adnan Raza,Male,1974-04-25,52,AB+,+923187324220,Gulistan-e-Johar,24.90936,67.14184,2025-09-25,254,1,2,0.02
D0106,Zara Soomro,Female,1981-09-16,45,B+,+923452779814,Lyari,24.8876,66.99611,2026-03-09,89,2,2,0.65
D0107,Fatima Shah,Female,1982-07-18,44,O+,+923070369365,PECHS,24.86583,67.05688,2026-04-20,47,2,1,0.42
D0108,Zain Butt,Male,1995-06-10,31,B-,+923074279671,Gulshan-e-Iqbal,24.91458,67.08406,2024-04-25,772,3,2,0.81
D0109,Fahad Chaudhry,Male,2002-12-16,24,A+,+923316135823,Liaquatabad,24.91694,67.0389,2026-03-26,72,3,1,0.92
D0110,Imran Butt,Male,1973-11-22,53,B+,+923371851421,Orangi Town,24.9652,66.9914,2026-05-16,21,3,0,0.7
D0111,Hira Bhatti,Female,2005-01-14,21,B+,+923177878323,Korangi,24.83263,67.12562,2025-08-29,281,4,1,0.55
D0112,Junaid Lodhi,Male,1991-09-10,35,B+,+923022927031,Shah Faisal Colony,24.88635,67.16983,2026-03-31,67,3,3,0.78
D0113,Shahzaib Raza,Male,1989-11-27,37,AB+,+923473888323,Gulistan-e-Johar,24.90824,67.1271,2026-05-30,7,6,1,0.39
D0114,Areeba Hussain,Female,1972-08-09,54,B+,+923485633013,North Nazimabad,24.94643,67.03273,2024-12-04,549,2,5,0.88
D0115,Saad Nawaz,Male,1993-10-27,33,AB+,+923120526386,Bahadurabad,24.87696,67.07013,2026-04-03,64,2,0,0.24
D0116,Ali Abbasi,Male,1980-08-08,46,O+,+923321501669,PECHS,24.87036,67.06831,2025-10-08,241,1,0,0.91
D0117,Ahmed Memon,Male,1980-06-25,46,B+,+923484455942,F.B. Area,24.9331,67.06234,2026-04-02,65,2,0,0.88
D0118,Usman Lodhi,Male,1973-04-19,53,O+,+923276185975,PECHS,24.86407,67.05845,2026-02-04,122,2,1,0.48
D0119,Zain Chaudhry,Male,2002-03-10,24,B+,+923269085720,PECHS,24.86797,67.06688,2025-07-31,310,3,2,0.84
D0120,Eman Butt,Female,1972-04-11,54,O+,+923189487366,PECHS,24.86876,67.07437,2025-05-09,393,3,2,0.28
D0121,Anum Bhatti,Female,1977-03-21,49,B+,+923319927432,Malir,24.89681,67.21017,2025-07-06,335,8,3,0.41
D0122,Laiba Soomro,Female,2003-02-25,23,B+,+923496574622,Lyari,24.86899,66.9947,2024-07-01,705,3,0,0.55
D0123,Adnan Ansari,Male,1983-08-25,43,A+,+923324032377,Gulberg,24.92162,67.06194,2026-04-30,37,8,0,0.54
D0124,Adnan Lodhi,Male,1980-06-03,46,B+,+923032059232,Nazimabad,24.90054,67.02623,2025-06-17,354,2,1,0.84
D0125,Talha Khan,Male,1969-04-15,57,O+,+923218397164,PECHS,24.86011,67.05716,2026-01-15,142,1,0,0.9
D0126,Talha Nawaz,Male,2001-06-12,25,AB+,+923292474715,Clifton,24.82133,67.03494,2026-01-24,133,2,0,0.44
D0127,Danish Qureshi,Male,1977-11-18,49,A+,+923135111946,Clifton,24.81512,67.02975,2025-04-12,420,10,1,0.52
D0128,Fahad Rizvi,Male,1980-08-06,46,B+,+923046890134,Gulshan-e-Iqbal,24.9286,67.08479,2026-05-09,28,3,2,0.93
D0129,Iqra Shah,Female,2006-12-15,20,O+,+923149957816,Shah Faisal Colony,24.86946,67.16792,2025-07-21,320,5,1,0.09
D0130,Owais Mughal,Male,1969-11-14,57,B+,+923086514083,F.B. Area,24.94984,67.07152,2025-06-09,362,1,8,0.57
D0131,Sana Malik,Female,1982-01-09,44,AB+,+923153231088,F.B. Area,24.94783,67.05518,2026-05-06,31,4,1,0.42
D0132,Noman Abbasi,Male,1985-08-16,41,B+,+923071532017,Gulshan-e-Iqbal,24.93035,67.09983,2025-04-02,430,2,5,0.95
D0133,Faizan Nawaz,Male,1977-06-22,49,A+,+923312185246,Gulistan-e-Johar,24.90839,67.13681,2025-12-18,170,15,1,1.0
D0134,Mahnoor Siddiqui,Female,1967-06-09,59,B+,+923167610401,Clifton,24.80304,67.03301,2026-03-15,83,3,0,0.6
D0135,Anum Mughal,Female,2000-08-03,26,B+,+923259333294,North Nazimabad,24.94754,67.02846,2024-05-10,757,5,0,1.0
D0136,Adnan Ansari,Male,1995-11-24,31,B+,+923121635070,Shah Faisal Colony,24.88179,67.15862,2025-12-27,161,2,5,0.79
D0137,Hassan Lodhi,Male,1970-05-25,56,O-,+923237574457,Gulshan-e-Iqbal,24.92985,67.0953,2025-06-21,350,2,0,0.97
D0138,Hassan Siddiqui,Male,1975-01-12,51,O-,+923359044830,F.B. Area,24.94028,67.07214,2024-02-09,848,5,0,0.72
D0139,Sidra Memon,Female,1968-12-17,58,A+,+923482162880,Shah Faisal Colony,24.88384,67.14998,2026-03-20,78,0,5,0.45
D0140,Eman Bhatti,Female,1967-02-10,59,A+,+923325567455,Korangi,24.83239,67.12407,2026-02-08,118,4,0,0.44
D0141,Junaid Lodhi,Male,1992-03-12,34,B+,+923054964418,Malir,24.89859,67.19583,2026-04-13,54,10,1,0.02
D0142,Saad Abbasi,Male,2002-10-22,24,A+,+923042823140,Korangi,24.84878,67.12206,2025-07-10,331,1,5,0.57
D0143,Kashif Raza,Male,1982-12-11,44,B+,+923034071191,North Nazimabad,24.94372,67.02887,2025-04-19,413,0,1,0.65
D0144,Zain Memon,Male,1972-05-24,54,A+,+923183357939,Landhi,24.84684,67.20132,2025-05-30,372,0,1,0.89
D0145,Sadia Lodhi,Female,1989-02-07,37,O+,+923147557512,Korangi,24.84108,67.14507,2024-10-11,603,3,2,0.81
D0146,Taimoor Farooqi,Male,2004-10-19,22,B+,+923262741214,F.B. Area,24.93668,67.05826,2025-09-22,257,2,5,0.74
D0147,Kashif Rizvi,Male,2001-09-12,25,B-,+923022136086,DHA,24.79885,67.04912,2026-05-17,20,6,0,0.91
D0148,Taimoor Qureshi,Male,2007-07-28,19,O+,+923126301180,Bahadurabad,24.875,67.06309,2026-06-05,1,5,0,0.89
D0149,Ayesha Siddiqui,Female,1996-11-15,30,A+,+923226445384,North Nazimabad,24.95172,67.0459,2026-06-01,5,3,3,0.82
D0150,Saad Abbasi,Male,1991-08-05,35,B+,+923474294443,Korangi,24.84653,67.13397,2026-01-23,134,2,1,0.47
D0151,Talha Mughal,Male,1986-08-18,40,A+,+923346297263,Lyari,24.8869,66.99206,2026-02-23,103,0,3,0.78
D0152,Imran Qureshi,Male,2002-04-22,24,B+,+923039448924,Bahadurabad,24.88859,67.07401,2024-06-07,729,15,0,0.77
D0153,Shahzaib Mughal,Male,1986-10-19,40,B+,+923382762732,DHA,24.80808,67.05745,2026-04-28,39,0,1,0.54
D0154,Komal Mughal,Female,1997-06-02,29,B+,+923219735027,F.B. Area,24.94958,67.07232,2025-08-18,292,2,8,0.53
D0155,Shahzaib Shah,Male,1969-06-08,57,A+,+923227092408,Clifton,24.81088,67.03562,2024-05-01,766,5,1,0.5
D0156,Hamza Butt,Male,1999-06-24,27,B+,+923099929175,Lyari,24.88858,66.98403,2026-03-17,81,1,2,0.81
D0157,Danish Qureshi,Male,1982-08-13,44,O+,+923497371655,PECHS,24.86243,67.06351,2025-11-13,205,5,0,0.71
D0158,Zara Lodhi,Female,2004-09-03,22,B+,+923191512791,Orangi Town,24.95891,66.98635,2026-04-12,55,1,0,0.91
D0159,Imran Sheikh,Male,2005-07-19,21,O+,+923321761279,Orangi Town,24.94569,66.98466,2026-04-30,37,1,1,0.54
D0160,Faraz Bhatti,Male,1992-02-21,34,O+,+923169830944,Clifton,24.8107,67.02715,2025-10-25,224,1,0,0.72
D0161,Salman Rizvi,Male,1971-04-18,55,B+,+923473729850,PECHS,24.87964,67.06205,2026-03-25,73,2,3,0.57
D0162,Maryam Sheikh,Female,1980-03-06,46,B-,+923337101146,DHA,24.79103,67.04816,2025-12-23,165,4,3,0.22
D0163,Bilawal Khan,Male,1969-10-17,57,A+,+923488205594,Nazimabad,24.90995,67.02156,2025-02-22,469,6,3,0.48
D0164,Saad Abbasi,Male,1983-03-20,43,O+,+923241887353,PECHS,24.86093,67.07335,2024-09-03,641,0,3,0.48
D0165,Haris Raza,Male,2000-05-24,26,O+,+923035224301,Liaquatabad,24.90147,67.04,2025-11-20,198,5,3,0.95
D0166,Faizan Khokhar,Male,1975-10-01,51,B+,+923316785951,DHA,24.80809,67.04399,2025-11-27,191,3,0,0.6
D0167,Haris Butt,Male,1971-09-12,55,O+,+923213684342,Malir,24.89898,67.20953,2024-12-21,532,5,0,0.47
D0168,Haris Khokhar,Male,2008-08-05,18,A+,+923296267144,Gulshan-e-Iqbal,24.91487,67.0941,2024-05-16,751,3,0,0.56
D0169,Umar Ansari,Male,1973-11-20,53,O+,+923247108953,Saddar,24.86443,67.02156,2026-03-17,81,4,3,0.31
D0170,Laiba Farooqi,Female,1966-06-22,60,B+,+923266178935,Gulshan-e-Iqbal,24.92523,67.10344,2025-08-22,288,15,3,0.61
D0171,Umar Ansari,Male,1976-05-28,50,B+,+923144715663,Bahadurabad,24.87335,67.05434,2025-12-05,183,1,0,0.96
D0172,Adnan Sheikh,Male,1978-01-28,48,A+,+923061226775,North Nazimabad,24.94133,67.03067,2026-03-31,67,6,0,0.23
D0173,Kashif Mughal,Male,1997-02-16,29,B+,+923346712288,Clifton,24.80932,67.01939,2025-12-12,176,5,0,0.16
D0174,Bilal Shah,Male,1996-12-12,30,B-,+923010553491,Liaquatabad,24.91316,67.04274,2025-11-01,217,2,0,0.07
D0175,Rehan Chaudhry,Male,1975-10-17,51,B+,+923235290114,F.B. Area,24.93923,67.07363,2026-05-16,21,4,0,0.92
D0176,Bilal Farooqi,Male,1968-05-25,58,O+,+923097720360,Gulistan-e-Johar,24.92025,67.11915,2026-02-12,114,2,1,0.45
D0177,Umar Sheikh,Male,1966-09-09,60,A+,+923492906016,F.B. Area,24.94105,67.07357,2025-02-09,482,3,1,0.93
D0178,Saad Ahmed,Male,1973-08-07,53,A+,+923024821786,Orangi Town,24.94993,66.97607,2025-01-04,518,5,0,0.67
D0179,Mahnoor Chaudhry,Female,2005-02-27,21,B+,+923267176108,Gulistan-e-Johar,24.92645,67.12665,2026-05-23,14,1,1,0.8
D0180,Iqra Baig,Female,1997-02-13,29,O+,+923366604960,Landhi,24.84452,67.18726,2026-03-15,83,4,8,0.43
D0181,Adnan Qureshi,Male,1969-07-25,57,O+,+923174837853,Gulshan-e-Iqbal,24.9302,67.10062,2026-01-10,147,0,2,0.66
D0182,Areeba Bhatti,Female,1987-09-17,39,A+,+923356405710,Nazimabad,24.91039,67.03544,2025-01-04,518,3,8,0.06
D0183,Zara Siddiqui,Female,1977-06-08,49,B+,+923364126921,Malir,24.88221,67.19834,2026-01-27,130,3,0,0.49
D0184,Talha Rizvi,Male,2006-09-18,20,B+,+923278227936,North Nazimabad,24.949,67.04912,2024-02-24,833,2,0,0.54
D0185,Umar Ansari,Male,1980-02-04,46,A+,+923283509785,Korangi,24.83105,67.13052,2026-04-01,66,1,0,0.62
D0186,Bilawal Farooqi,Male,1995-08-27,31,A+,+923426538199,Liaquatabad,24.89759,67.03995,2026-04-10,57,3,1,0.68
D0187,Bilawal Qureshi,Male,1971-03-24,55,A+,+923277660514,Nazimabad,24.9093,67.03241,2026-04-18,49,10,8,0.44
D0188,Rabia Mughal,Female,1973-06-23,53,A+,+923449000919,Bahadurabad,24.88418,67.05682,2025-01-21,501,4,5,0.85
D0189,Fahad Nawaz,Male,1972-11-23,54,O+,+923080159631,Bahadurabad,24.87586,67.07234,2026-05-24,13,4,0,0.93
D0190,Warda Memon,Female,1995-09-02,31,O+,+923440106027,Landhi,24.84046,67.19883,2025-08-21,289,5,2,0.91
D0191,Tooba Baig,Female,1973-01-01,53,A+,+923340272606,DHA,24.80289,67.05674,2024-11-16,567,10,0,0.75
D0192,Talha Ahmed,Male,1981-05-18,45,B+,+923272589932,Clifton,24.81582,67.02412,2024-12-30,523,3,2,0.65
D0193,Usman Mughal,Male,1988-09-08,38,B-,+923382890984,Gulberg,24.91964,67.05012,2025-08-14,296,6,2,0.49
D0194,Salman Khokhar,Male,1967-01-04,59,A+,+923442725927,Landhi,24.84377,67.19341,2024-05-11,756,8,0,0.36
D0195,Arsalan Awan,Male,1980-08-02,46,B+,+923032467350,DHA,24.79569,67.03998,2025-06-08,363,1,1,0.76
D0196,Aiman Khokhar,Female,1981-11-27,45,O-,+923021746856,F.B. Area,24.93157,67.0692,2024-12-05,548,3,1,0.48
D0197,Ahmed Farooqi,Male,2001-09-01,25,A+,+923058009699,North Nazimabad,24.94814,67.04005,2024-08-13,662,2,0,0.53
D0198,Salman Raza,Male,2000-12-13,26,A+,+923296965116,Bahadurabad,24.87608,67.06722,2026-04-20,47,0,1,0.68
D0199,Iqra Hussain,Female,1982-11-28,44,O+,+923236082023,Clifton,24.80622,67.03281,2025-04-11,421,8,8,0.84
D0200,Noman Nawaz,Male,1977-06-12,49,B+,+923152652506,Korangi,24.8334,67.13687,2025-07-21,320,2,1,0.87
D0201,Imran Raza,Male,1967-07-09,59,AB+,+923372122457,F.B. Area,24.94731,67.05996,2025-09-06,273,1,1,0.33
D0202,Noman Soomro,Male,2004-12-03,22,AB+,+923464376227,Gulberg,24.93316,67.0575,2025-11-20,198,3,8,0.84
